Time,Rotor Speed (omega),Aerodynamic Torque (T_m),Wind Speed,Pitch Angle
30.330330330330334,inf,-0.0,8.216693027046256,5.108506320247356
30.430430430430434,inf,-0.0,8.196780337198593,5.098509735539805
30.530530530530534,inf,-0.0,8.17684793006667,5.0885106831611315
30.630630630630634,inf,-0.0,8.156897802866993,5.078509413587827
30.730730730730734,inf,-0.0,8.136931954591608,5.068506177351921
30.830830830830834,inf,-0.0,8.116952385807807,5.05850122503471
30.930930930930934,inf,-0.0,8.096961098457664,5.048494807260477
31.031031031031034,inf,-0.0,8.076960095657455,5.038487174690217
31.131131131131134,inf,-0.0,8.056951381496932,5.028478578015353
31.231231231231234,inf,-0.0,8.036936960838524,5.01846926795146
31.331331331331334,inf,-0.0,8.016918839116448,5.008459495231983
31.431431431431434,inf,-0.0,7.996899022135767,4.998449510601958
31.531531531531535,inf,-0.0,7.9768795158714045,4.988439564811728
31.631631631631635,inf,-0.0,7.956862326267152,4.9784299086106625
31.731731731731735,inf,-0.0,7.936849459034675,4.968420792740879
31.831831831831835,inf,-0.0,7.916842919452536,4.958412467930957
31.931931931931935,inf,-0.0,7.896844712165274,4.948405184889662
32.032032032032035,inf,-0.0,7.8768568409825335,4.938399194299663
32.132132132132135,inf,-0.0,7.856881308678288,4.928394746811251
32.232232232232235,inf,-0.0,7.8369201167901625,4.918392093036065
32.332332332332335,inf,-0.0,7.816975265418879,4.908391483540809
32.432432432432435,inf,-0.0,7.797048753027851,4.89839316884098
32.532532532532535,inf,-0.0,7.777142576242931,4.88839739939459
32.632632632632635,inf,-0.0,7.75725872965236,4.878404425595889
32.732732732732735,inf,-0.0,7.737399205606903,4.868414497769101
32.832832832832835,inf,-0.0,7.717565994020219,4.858427866162145
32.932932932932935,inf,-0.0,7.697761082169472,4.848444780940371
33.033033033033036,inf,-0.0,7.677986454496209,4.8384654921802905
33.133133133133136,inf,-0.0,7.65824409240752,4.828490249863315
33.233233233233236,inf,-0.0,7.638535974077497,4.818519303869493
33.333333333333336,inf,-0.0,7.618864074249029,4.808552903971249
33.433433433433436,inf,-0.0,7.599230364035928,4.798591299827125
33.533533533533536,inf,-0.0,7.57963681072543,4.788634740975535
33.633633633633636,inf,-0.0,7.560085377581068,4.778683476828505
33.733733733733736,inf,-0.0,7.540578023645958,4.768737756665427
33.833833833833836,inf,-0.0,7.521116703546505,4.75879782962682
33.933933933933936,inf,-0.0,7.501703367296543,4.7488639447080825
34.034034034034036,inf,-0.0,7.482339960101958,4.738936350753257
34.134134134134136,inf,-0.0,7.463028422165763,4.7290152964488
34.234234234234236,inf,-0.0,7.4437706884937045,4.719101030317347
34.334334334334336,inf,-0.0,7.424568688700369,4.709193800711492
34.434434434434436,inf,-0.0,7.405424346815838,4.699293855807562
34.53453453453454,inf,-0.0,7.386339581092902,4.689401443599402
34.63463463463464,inf,-0.0,7.367316303814851,4.679516811892164
34.73473473473474,inf,-0.0,7.348356421103869,4.669640208296098
34.83483483483484,inf,-0.0,7.329461832730034,4.659771880220348
34.93493493493494,inf,-0.0,7.310634431920968,4.6499120748667595
35.03503503503504,inf,-0.0,7.291876105172136,4.6400610392236805
35.13513513513514,inf,-0.0,7.27318873205782,4.630219020059778
35.23523523523524,inf,-0.0,7.254574185042783,4.620386263917857
35.33533533533534,inf,-0.0,7.236034329294654,4.610563017108683
35.43543543543544,inf,-0.0,7.217571022497037,4.6007495257048125
35.53553553553554,inf,-0.0,7.1991861146633696,4.590946035534429
35.63563563563564,inf,-0.0,7.180881447951561,4.581152792175186
35.73573573573574,inf,-0.0,7.162658856479396,4.571370040948052
35.83583583583584,inf,-0.0,7.1445201661407705,4.561598026911168
35.93593593593594,inf,-0.0,7.126467194422728,4.5518369948537085
36.03603603603604,inf,-0.0,7.108501750223352,4.5420871892897505
36.13613613613614,inf,-0.0,7.09062563367052,4.532348854452144
